company_id,type,rule_id,text,confidence_pct
BAJAJHLDNG,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,74.1
BAJAJHLDNG,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.0
BAJAJHLDNG,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
BAJAJHLDNG,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
BAJAJHLDNG,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.2
BAJFINANCE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.4
BAJFINANCE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,72.1
BAJFINANCE,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.3
BAJFINANCE,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.6
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.0
BAJFINANCE,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
BAJFINANCE,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
BAJFINANCE,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.8
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BANKBARODA,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.5
BANKBARODA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76.2
BANKBARODA,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.3
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BEL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.4
BEL,con,C15_fallback,Free cash flow conversion below 100% of operating profit means some reported profit is not yet converting to cash,63.0
BHARTIARTL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,83.6
BHARTIARTL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,88.4
BHARTIARTL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,90.2
BHARTIARTL,con,C01,Debt-to-equity ratio of 2.6 is elevated for a non-financial company and warrants monitoring,73.0
BHEL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
BHEL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83.6
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BHEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,89.2
BHEL,pro,P13_fallback,Manageable debt-to-equity ratio indicates the balance sheet is not under financial stress,62.0
BOSCHLTD,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
BOSCHLTD,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,85.0
BOSCHLTD,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BOSCHLTD,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,76.7
BOSCHLTD,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
BOSCHLTD,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.6
BOSCHLTD,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
BOSCHLTD,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
BPCL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.8
BPCL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.4
BPCL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.1
BPCL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,82.3
BPCL,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
BRITANNIA,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BRITANNIA,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.6
BRITANNIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.4
BRITANNIA,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
CANBK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.2
CANBK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.4
CANBK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
CANBK,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,75.4
CANBK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
CANBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
CANBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CANBK,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
CANBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.9
CANBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CHOLAFIN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.9
CHOLAFIN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.6
CHOLAFIN,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.4
CHOLAFIN,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,81.2
CHOLAFIN,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.3
CHOLAFIN,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.4
CHOLAFIN,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
CHOLAFIN,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
CHOLAFIN,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
CHOLAFIN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.6
CHOLAFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CIPLA,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
CIPLA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.3
CIPLA,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.7
CIPLA,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.3
CIPLA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.8
CIPLA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.2
CIPLA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
CIPLA,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
COALINDIA,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.9
COALINDIA,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
COALINDIA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.6
COALINDIA,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.2
COALINDIA,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,77.1
COALINDIA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.9
COALINDIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.0
COALINDIA,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
DABUR,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
DABUR,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83.2
DABUR,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,74.3
DABUR,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
DABUR,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
DIVISLAB,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,85.0
DIVISLAB,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.6
DIVISLAB,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DIVISLAB,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
DIVISLAB,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
DLF,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
DLF,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.0
DLF,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71.7
DLF,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
DLF,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.5
DLF,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,90.4
DMART,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.5
DMART,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.0
DMART,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DMART,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.7
DMART,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.5
DMART,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
DRREDDY,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
DRREDDY,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.7
DRREDDY,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.4
DRREDDY,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
DRREDDY,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.8
DRREDDY,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
DRREDDY,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.8
DRREDDY,con,C14_fallback,Low dividend yield means limited direct cash returns to shareholders relative to reinvestment-focused strategy,62.0
EICHERMOT,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
EICHERMOT,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,70.6
EICHERMOT,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
EICHERMOT,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,77.2
EICHERMOT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
EICHERMOT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.6
EICHERMOT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
GAIL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83.6
GAIL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
GODREJCP,con,C04,Company reported a net loss in the most recent financial year,90.0
GODREJCP,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
GODREJCP,pro,P13_fallback,Manageable debt-to-equity ratio indicates the balance sheet is not under financial stress,62.0
GRASIM,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.3
GRASIM,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.7
GRASIM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.2
GRASIM,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
GRASIM,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
GRASIM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75.2
HAL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.5
HAL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.5
HAL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HAL,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72.3
HAL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.6
HAL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,82.8
HAL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
HAVELLS,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.4
HAVELLS,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71.8
HAVELLS,con,C15_fallback,Free cash flow conversion below 100% of operating profit means some reported profit is not yet converting to cash,63.0
HCLTECH,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72.5
HCLTECH,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
HCLTECH,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HCLTECH,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
HCLTECH,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
HDFCBANK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77.0
HDFCBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.2
HDFCBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.9
HDFCBANK,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,77.0
HDFCBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.4
HDFCBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.9
HDFCBANK,con,C06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,78.0
HDFCBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.2
HDFCBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
HDFCLIFE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.2
HDFCLIFE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCLIFE,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HDFCLIFE,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
HDFCLIFE,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
HDFCLIFE,con,C13_fallback,"Stock trades at a premium to sector median P/E, reflecting high market expectations already priced in",65.0
HEROMOTOCO,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
HEROMOTOCO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HEROMOTOCO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HEROMOTOCO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
HEROMOTOCO,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
HEROMOTOCO,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,68.5
HINDALCO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDALCO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDALCO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.5
HINDALCO,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
HINDUNILVR,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
HINDUNILVR,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.7
HINDUNILVR,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
HINDUNILVR,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,77.0
HINDUNILVR,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,66.6
HINDUNILVR,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70.0
ICICIBANK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.3
ICICIBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.7
ICICIBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ICICIBANK,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,74.3
ICICIBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ICICIBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75.0
ICICIBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.7
ICICIBANK,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
ICICIBANK,con,C06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,78.5
ICICIBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,79.9
ICICIBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.4
ICICIGI,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
ICICIGI,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,85.0
ICICIGI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIGI,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ICICIGI,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,74.4
ICICIGI,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
ICICIGI,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
ICICIPRULI,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.8
ICICIPRULI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIPRULI,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91.0
ICICIPRULI,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
ICICIPRULI,con,C14_fallback,Low dividend yield means limited direct cash returns to shareholders relative to reinvestment-focused strategy,62.0
INDIGO,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
INDIGO,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.3
INDIGO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.6
INDIGO,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
INDIGO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,82.6
INDIGO,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,76.8
INDIGO,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
INDIGO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
INDIGO,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,72.0
INDUSINDBK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.5
